행정구역별(읍면동),총인구 (명),남자 (명),여자 (명),내국인-계 (명),내국인-남자 (명),내국인-여자 (명),외국인-계 (명),외국인-남자 (명),외국인-여자 (명),가구-계 (가구),일반가구 (가구),집단가구 (가구),외국인가구 (가구),주택-계 (호),단독주택 (호),아파트 (호),연립주택 (호),다세대주택 (호),비거주용 건물내 주택 (호),주택이외의 거처 (호)
홍성군,102757,51604,51153,99259,49338,49921,3498,2266,1232,44090,43192,56,842,43472,20074,19690,828,2089,791,1674
예산군,77838,39641,38197,74708,37569,37139,3130,2072,1058,34488,33675,63,750,36369,20694,11337,1393,2396,549,1254
태안군,60901,31266,29635,58969,29912,29057,1932,1354,578,28521,28003,28,490,28832,17409,7543,1078,2203,599,1050
전라북도,1802766,899058,903708,1760400,876451,883949,42366,22607,19759,767803,755575,708,11520,741221,280952,416861,17450,15130,10828,18287
읍부,157265,79177,78088,152037,76377,75660,5228,2800,2428,65653,64239,93,1321,65253,30134,29598,2997,1402,1122,2278
면부,358481,179779,178702,347943,173548,174395,10538,6231,4307,165741,163450,245,2046,177385,157279,14532,1936,1396,2242,7101
동부,1287020,640102,646918,1260420,626526,633894,26600,13576,13024,536409,527886,370,8153,498583,93539,372731,12517,12332,7464,8908
전주시,666517,328910,337607,655039,323544,331495,11478,5366,6112,274810,270768,159,3883,240012,41425,183486,5000,7108,2993,3801
완산구,342896,167167,175729,337484,164601,172883,5412,2566,2846,142714,140814,83,1817,124435,20817,97228,2271,2599,1520,1903
덕진구,323621,161743,161878,317555,158943,158612,6066,2800,3266,132096,129954,76,2066,115577,20608,86258,2729,4509,1473,1898
군산시,269023,136934,132089,261128,131993,129135,7895,4941,2954,114147,111817,92,2238,116663,29065,80048,4310,1403,1837,2452
익산시,285312,142948,142364,278724,139638,139086,6588,3310,3278,121413,119474,116,1823,117355,34873,74406,2611,3420,2045,2576
정읍시,106706,53174,53532,102975,50966,52009,3731,2208,1523,46850,45970,71,809,48152,26229,20033,582,515,793,1597
남원시,78097,38214,39883,76770,37677,39093,1327,537,790,34331,33974,31,326,34965,20539,13051,448,312,615,1053
김제시,79733,39603,40130,77160,37861,39299,2573,1742,831,35247,34697,57,493,37736,24534,11475,1015,250,462,1403
완주군,95834,49451,46383,91548,46940,44608,4286,2511,1775,39629,38551,66,1012,38905,19448,18233,306,520,398,1393
진안군,23380,11664,11716,22924,11487,11437,456,177,279,10774,10674,12,88,10908,9133,1071,535,26,143,513
무주군,22678,11177,11501,22385,11098,11287,293,79,214,10539,10469,11,59,11195,8983,1603,190,239,180,453
장수군,20879,10377,10502,20383,10171,10212,496,206,290,9497,9383,11,103,9555,8105,804,334,133,179,399
임실군,26075,13179,12896,25666,13030,12636,409,149,260,12380,12288,13,79,12830,10592,1744,175,184,135,450
순창군,26598,12784,13814,26111,12612,13499,487,172,315,11750,11647,17,86,13135,10980,1529,295,159,172,393
고창군,52608,26092,26516,51340,25464,25876,1268,628,640,23845,23512,28,305,25269,19577,3631,1299,384,378,887
부안군,49326,24551,24775,48247,23970,24277,1079,581,498,22591,22351,24,216,24541,17469,5747,350,477,498,917
전라남도,1788807,903281,885526,1743571,875732,867839,45236,27549,17687,772660,761518,896,10246,802043,402046,359690,16463,10955,12889,26971
읍부,439764,221991,217773,425403,212921,212482,14361,9070,5291,184223,180222,283,3718,186168,84524,86839,6699,4340,3766,8588
면부,569084,285621,283463,551609,274353,277256,17475,11268,6207,265354,261444,370,3540,289791,252134,31254,2071,1226,3106,9665
동부,779959,395669,384290,766559,388458,378101,13400,7211,6189,323083,319852,243,2988,326084,65388,241597,7693,5389,6017,8718
목포시,224509,112446,112063,220195,109988,110207,4314,2458,1856,95492,94391,83,1018,94332,21281,67995,1597,1820,1639,3334
여수시,271505,140228,131277,265300,135970,129330,6205,4258,1947,113780,112397,95,1288,113941,38184,69791,1678,1689,2599,2209
순천시,272449,136023,136426,269708,134826,134882,2741,1197,1544,110833,110112,69,652,113964,32228,76707,1672,1541,1816,1990
나주시,113293,56528,56765,109639,54506,55133,3654,2022,1632,49264,48497,76,691,54524,24431,28627,479,522,465,3017
광양시,143928,75009,68919,141724,74057,67667,2204,952,1252,58325,57752,45,528,60548,13809,41969,2980,828,962,1137
담양군,44201,22115,22086,42876,21477,21399,1325,638,687,18333,18034,35,264,18485,15754,1854,267,276,334,945
곡성군,27349,13421,13928,26691,13060,13631,658,361,297,12833,12689,24,120,13488,11511,1234,354,191,198,435
구례군,23907,11502,12405,23604,11404,12200,303,98,205,11089,11009,14,66,11687,10028,1078,252,131,198,411
고흥군,60045,29349,30696,58680,28489,30191,1365,860,505,29852,29520,29,303,34150,28032,3582,831,1239,466,835
보성군,37888,18255,19633,37284,18024,19260,604,231,373,17980,17862,27,91,19464,16215,2447,497,115,190,569
화순군,60247,29207,31040,59044,28665,30379,1203,542,661,25608,25343,35,230,28628,15394,12571,291,79,293,898
장흥군,35273,17111,18162,34508,16756,17752,765,355,410,16646,16484,19,143,17679,13965,2532,727,156,299,619
강진군,32778,15901,16877,32158,15625,16533,620,276,344,15398,15250,22,126,17241,13851,2177,552,353,308,567
해남군,65223,32470,32753,63310,31330,31980,1913,1140,773,29535,29031,33,471,31350,24321,5802,473,207,547,1044
영암군,57076,30667,26409,51166,26310,24856,5910,4357,1553,25307,23534,47,1726,27410,15341,10760,624,391,294,1019
무안군,84637,42867,41770,82519,41667,40852,2118,1200,918,36094,35628,57,409,35403,18525,15656,477,309,436,3618
함평군,30156,15057,15099,29260,14573,14687,896,484,412,13720,13538,36,146,14777,13238,968,240,112,219,639
영광군,50196,25157,25039,48943,24427,24516,1253,730,523,22102,21780,39,283,23083,15455,6024,921,309,374,959
장성군,41443,20969,20474,40046,20148,19898,1397,821,576,17583,17291,31,261,18761,13791,4133,499,66,272,708
완도군,48269,25277,22992,45400,22947,22453,2869,2330,539,22006,21234,31,741,22096,18176,2425,615,358,522,955
진도군,29297,15042,14255,27418,13503,13915,1879,1539,340,13883,13400,15,468,14327,12241,1338,337,201,210,477
신안군,35138,18680,16458,34098,17980,16118,1040,700,340,16997,16742,34,221,16705,16275,20,100,62,248,586
경상북도,2644757,1338823,1305934,2570210,1294138,1276072,74547,44685,29862,1152097,1131819,1182,19096,1094306,456538,541246,30673,47264,18585,34480
읍부,617590,316441,301149,594069,301769,292300,23521,14672,8849,263643,257403,296,5944,251633,96098,131445,7224,12421,4445,7438
면부,628901,317900,311001,608001,303342,304659,20900,14558,6342,295747,291785,485,3477,315925,256532,45100,4771,5384,4138,13871
동부,1398266,704482,693784,1368140,689027,679113,30126,15455,14671,592707,582631,401,9675,526748,103908,364701,18678,29459,10002,13171
포항시,501109,254268,246841,492896,249555,243341,8213,4713,3500,209373,207459,140,1774,201611,46350,131204,8650,11407,4000,3657
남구,228937,119250,109687,224781,116627,108154,4156,2623,1533,97063,96024,69,970,89851,23826,52043,4456,7579,1947,1823
북구,272172,135018,137154,268115,132928,135187,4057,2090,1967,112310,111435,71,804,111760,22524,79161,4194,3828,2053,1834
경주시,261778,132827,128951,246008,123078,122930,15770,9749,6021,116452,111247,104,5101,109481,45760,51821,3606,6232,2062,4592
김천시,139145,69808,69337,135977,68003,67974,3168,1805,1363,60013,59250,83,680,60378,26412,30670,1279,1064,953,2480
안동시,159412,78996,80416,157525,78174,79351,1887,822,1065,71424,70934,73,417,69997,31394,34487,1476,1318,1322,2021
구미시,416603,214920,201683,410007,211352,198655,6596,3568,3028,171496,169519,112,1865,152076,25237,112247,3707,9128,1757,3721
영주시,103818,51865,51953,102523,51290,51233,1295,575,720,45970,45636,54,280,42345,20839,17146,1643,1513,1204,1345
영천시,100353,51436,48917,96225,48569,47656,4128,2867,1261,45647,44842,82,723,45092,22937,19431,934,1146,644,2179
상주시,95473,47016,48457,94167,46458,47709,1306,558,748,44043,43717,59,267,43713,29569,11775,388,1216,765,1556
문경시,68212,33446,34766,67250,33025,34225,962,421,541,30839,30574,46,219,30337,19514,7323,1304,1426,770,1012
경산시,283733,143389,140344,269639,135063,134576,14094,8326,5768,120756,116127,94,4535,96711,22730,68711,1019,3245,1006,2779
군위군,22096,11379,10717,21426,10888,10538,670,491,179,10850,10726,22,102,11043,9757,631,162,332,161,533
의성군,49243,24004,25239,48442,23577,24865,801,427,374,24312,24119,38,155,26136,22498,2189,341,715,393,772
청송군,23761,11817,11944,23470,11743,11727,291,74,217,11797,11723,16,58,12493,9833,1603,181,599,277,464
영양군,15743,7703,8040,15455,7642,7813,288,61,227,7725,7661,6,58,8197,7105,356,146,481,109,213
영덕군,34893,16886,18007,33612,15909,17703,1281,977,304,17206,16969,24,213,18220,14641,1499,880,742,458,552
청도군,41378,20180,21198,39980,19567,20413,1398,613,785,19004,18821,38,145,21748,18187,2243,362,668,288,756
고령군,31419,16396,15023,29264,14715,14549,2155,1681,474,13917,13498,19,400,13785,8998,3867,183,509,228,916
성주군,41574,21716,19858,39441,20132,19309,2133,1584,549,18713,18255,30,428,17038,14693,1360,295,345,345,1187
칠곡군,115756,60517,55239,110985,57370,53615,4771,3147,1624,47953,46786,76,1091,44000,14381,25414,625,2849,731,1745
예천군,53718,26306,27412,52939,25994,26945,779,312,467,24213,24041,19,153,27501,16326,9906,377,603,289,594
봉화군,29945,14870,15075,29471,14719,14752,474,151,323,14189,14092,19,78,15270,12242,1587,835,418,188,463
울진군,47151,24395,22756,45311,22826,22485,1840,1569,271,22006,21707,22,277,24069,14720,5594,2093,1201,461,646
울릉군,8444,4683,3761,8197,4489,3708,247,194,53,4199,4116,6,77,3065,2415,182,187,107,174,297
경상남도,3333056,1692212,1640844,3236387,1629100,1607287,96669,63112,33557,1376240,1350155,1126,24959,1296944,417534,797850,26697,37542,17321,45805
읍부,506242,254596,251646,493407,246986,246421,12835,7610,5225,201425,197768,167,3490,195809,56376,125700,4967,5915,2851,5996
면부,697601,356675,340926,664564,331822,332742,33037,24853,8184,309030,301778,526,6726,329694,227818,88948,4089,4169,4670,13026
동부,2129213,1080941,1048272,2078416,1050292,1028124,50797,30649,20148,865785,850609,433,14743,771441,133340,583202,17641,27458,9800,26783
진주시,352403,175605,176798,345977,171912,174065,6426,3693,2733,148396,146660,111,1625,130282,41583,82907,1172,2264,2356,3385
통영시,127984,65869,62115,122911,61814,61097,5073,4055,1018,54922,53758,55,1109,52552,19206,29903,1257,1210,976,1810
사천시,111184,57145,54039,107079,54075,53004,4105,3070,1035,47359,46540,81,738,49245,20460,25308,1602,839,1036,1443
김해시,552427,283063,269364,527424,265774,261650,25003,17289,7714,214170,207272,129,6769,193783,27466,151018,1985,11649,1665,7132
밀양시,103228,50545,52683,99377,48889,50488,3851,1656,2195,46860,45948,51,861,49162,27726,18202,1062,1273,899,1519
거제시,246965,131923,115042,237603,125407,112196,9362,6516,2846,98586,95837,67,2682,99797,22780,68843,4023,2701,1450,2811
양산시,351206,176742,174464,342744,171418,171326,8462,5324,3138,141072,138629,71,2372,132927,14851,113027,1093,2889,1067,3539
창원시,1029389,522913,506476,1009938,511296,498642,19451,11617,7834,415535,409688,232,5615,366057,77142,266049,9870,8998,3998,16185
의창구,262203,133404,128799,257433,130731,126702,4770,2673,2097,105843,104291,50,1502,83059,20665,56549,2039,2838,968,3716
성산구,213607,110503,103104,209062,107475,101587,4545,3028,1517,83048,81686,51,1311,72481,5569,66006,536,58,312,5434
마산합포구,172632,85874,86758,169801,84222,85579,2831,1652,1179,72452,71771,69,612,69200,21508,43716,1473,1258,1245,3696
마산회원구,190389,95207,95182,187691,93758,93933,2698,1449,1249,77008,76212,33,763,66670,14330,46508,2571,2506,755,2125
진해구,190558,97925,92633,185951,95110,90841,4607,2815,1792,77184,75728,29,1427,74647,15070,53270,3251,2338,718,1214
의령군,25965,12784,13181,25020,12213,12807,945,571,374,12535,12321,27,187,13482,11250,1439,280,364,149,501
함안군,65279,34271,31008,61000,30853,30147,4279,3418,861,27594,26634,57,903,28005,15393,11068,548,545,451,1254
창녕군,61302,30881,30421,57905,28646,29259,3397,2235,1162,27754,26908,48,798,28031,19470,5971,845,1372,373,1273
고성군,50016,25327,24689,48391,24192,24199,1625,1135,490,22436,22039,39,358,23984,17009,5059,479,1003,434,825
남해군,41587,20446,21141,40527,19594,20933,1060,852,208,19721,19501,24,196,22950,19571,2062,322,458,537,461
하동군,41772,20773,20999,41083,20492,20591,689,281,408,19600,19435,23,142,20413,16879,2475,393,312,354,755
산청군,33500,16275,17225,32666,15918,16748,834,357,477,15823,15611,29,183,16934,14833,1372,229,137,363,755
함양군,37114,17980,19134,36528,17689,18839,586,291,295,17501,17361,28,112,18891,14616,3322,153,455,345,676
거창군,59595,29300,30295,58874,28972,29902,721,328,393,26054,25874,23,157,27014,17253,8102,583,581,495,801
합천군,42140,20370,21770,41340,19946,21394,800,424,376,20322,20139,31,152,23435,20046,1723,801,492,373,680
제주특별자치도,670858,338173,332685,644027,323004,321023,26831,15169,11662,270435,263068,210,7157,246451,95879,78136,30645,35875,5916,18133
읍부,153767,79230,74537,143607,72697,70910,10160,6533,3627,62301,60060,78,2163,62136,41490,5000,8417,5482,1747,3482
면부,35539,18365,17174,33603,17103,16500,1936,1262,674,15497,14992,18,487,15778,12618,504,1148,1048,460,869
동부,481552,240578,240974,466817,233204,233613,14735,7374,7361,192637,188016,114,4507,168537,41771,72632,21080,29345,3709,13782
제주시,492306,247474,244832,474196,237502,236694,18110,9972,8138,196808,191619,140,5049,173767,61290,59693,19620,29135,4029,14189
서귀포시,178552,90699,87853,169831,85502,84329,8721,5197,3524,73627,71449,70,2108,72684,34589,18443,11025,6740,1887,3944
